tournament,tournament_type,year,member_state,group_stage,round_of_16,quarterfinals,semifinals,final,win,host
2002 FIFA World Cup,FIFA World Cup,2002,Belgium,1,1,0,0,0,0,0
2002 FIFA World Cup,FIFA World Cup,2002,Denmark,1,1,0,0,0,0,0
2002 FIFA World Cup,FIFA World Cup,2002,United Kingdom (England),1,1,1,0,0,0,0
2002 FIFA World Cup,FIFA World Cup,2002,France,1,0,0,0,0,0,0
2002 FIFA World Cup,FIFA World Cup,2002,Germany,1,1,1,1,1,0,0
2002 FIFA World Cup,FIFA World Cup,2002,Italy,1,1,0,0,0,0,0
2002 FIFA World Cup,FIFA World Cup,2002,Poland,1,0,0,0,0,0,0
2002 FIFA World Cup,FIFA World Cup,2002,Portugal,1,0,0,0,0,0,0
2002 FIFA World Cup,FIFA World Cup,2002,Ireland,1,1,0,0,0,0,0
2002 FIFA World Cup,FIFA World Cup,2002,Spain,1,1,1,0,0,0,0
2002 FIFA World Cup,FIFA World Cup,2002,Sweden,1,1,0,0,0,0,0
2006 FIFA World Cup,FIFA World Cup,2006,Czech Republic,1,0,0,0,0,0,0
2006 FIFA World Cup,FIFA World Cup,2006,United Kingdom (England),1,1,1,0,0,0,0
2006 FIFA World Cup,FIFA World Cup,2006,France,1,1,1,1,1,0,0
2006 FIFA World Cup,FIFA World Cup,2006,Germany,1,1,1,1,0,0,1
2006 FIFA World Cup,FIFA World Cup,2006,Italy,1,1,1,1,1,1,0
2006 FIFA World Cup,FIFA World Cup,2006,Netherlands,1,1,0,0,0,0,0
2006 FIFA World Cup,FIFA World Cup,2006,Poland,1,0,0,0,0,0,0
2006 FIFA World Cup,FIFA World Cup,2006,Portugal,1,1,1,1,0,0,0
2006 FIFA World Cup,FIFA World Cup,2006,Spain,1,1,0,0,0,0,0
2006 FIFA World Cup,FIFA World Cup,2006,Sweden,1,1,0,0,0,0,0
2010 FIFA World Cup,FIFA World Cup,2010,Denmark,1,0,0,0,0,0,0
2010 FIFA World Cup,FIFA World Cup,2010,United Kingdom (England),1,1,0,0,0,0,0
2010 FIFA World Cup,FIFA World Cup,2010,France,1,0,0,0,0,0,0
2010 FIFA World Cup,FIFA World Cup,2010,Germany,1,1,1,1,0,0,0
2010 FIFA World Cup,FIFA World Cup,2010,Greece,1,0,0,0,0,0,0
2010 FIFA World Cup,FIFA World Cup,2010,Italy,1,0,0,0,0,0,0
2010 FIFA World Cup,FIFA World Cup,2010,Netherlands,1,1,1,1,1,0,0
2010 FIFA World Cup,FIFA World Cup,2010,Portugal,1,1,0,0,0,0,0
2010 FIFA World Cup,FIFA World Cup,2010,Slovakia,1,1,0,0,0,0,0
2010 FIFA World Cup,FIFA World Cup,2010,Slovenia,1,0,0,0,0,0,0
2010 FIFA World Cup,FIFA World Cup,2010,Spain,1,1,1,1,1,1,0
2014 FIFA World Cup,FIFA World Cup,2014,Belgium,1,1,1,0,0,0,0
2014 FIFA World Cup,FIFA World Cup,2014,Croatia,1,0,0,0,0,0,0
2014 FIFA World Cup,FIFA World Cup,2014,United Kingdom (England),1,0,0,0,0,0,0
2014 FIFA World Cup,FIFA World Cup,2014,France,1,1,1,0,0,0,0
2014 FIFA World Cup,FIFA World Cup,2014,Germany,1,1,1,1,1,1,0
2014 FIFA World Cup,FIFA World Cup,2014,Greece,1,1,0,0,0,0,0
2014 FIFA World Cup,FIFA World Cup,2014,Italy,1,0,0,0,0,0,0
2014 FIFA World Cup,FIFA World Cup,2014,Netherlands,1,1,1,1,0,0,0
2014 FIFA World Cup,FIFA World Cup,2014,Portugal,1,0,0,0,0,0,0
2014 FIFA World Cup,FIFA World Cup,2014,Spain,1,0,0,0,0,0,0
UEFA Euro 2004,UEFA Euro,2004,Portugal,1,NA,1,1,1,0,1
UEFA Euro 2004,UEFA Euro,2004,France,1,NA,1,0,0,0,0
UEFA Euro 2004,UEFA Euro,2004,Denmark,1,NA,1,0,0,0,0
UEFA Euro 2004,UEFA Euro,2004,Czech Republic,1,NA,1,1,0,0,0
UEFA Euro 2004,UEFA Euro,2004,Sweden,1,NA,1,0,0,0,0
UEFA Euro 2004,UEFA Euro,2004,Germany,1,NA,0,0,0,0,0
UEFA Euro 2004,UEFA Euro,2004,Greece,1,NA,1,1,1,1,0
UEFA Euro 2004,UEFA Euro,2004,United Kingdom (England),1,NA,1,0,0,0,0
UEFA Euro 2004,UEFA Euro,2004,Italy,1,NA,0,0,0,0,0
UEFA Euro 2004,UEFA Euro,2004,Latvia,1,NA,0,0,0,0,0
UEFA Euro 2004,UEFA Euro,2004,Netherlands,1,NA,1,1,0,0,0
UEFA Euro 2004,UEFA Euro,2004,Spain,1,NA,0,0,0,0,0
UEFA Euro 2008,UEFA Euro,2008,Austria,1,NA,0,0,0,0,1
UEFA Euro 2008,UEFA Euro,2008,Czech Republic,1,NA,0,0,0,0,0
UEFA Euro 2008,UEFA Euro,2008,France,1,NA,0,0,0,0,0
UEFA Euro 2008,UEFA Euro,2008,Germany,1,NA,1,1,1,0,0
UEFA Euro 2008,UEFA Euro,2008,Greece,1,NA,0,0,0,0,0
UEFA Euro 2008,UEFA Euro,2008,Italy,1,NA,1,0,0,0,0
UEFA Euro 2008,UEFA Euro,2008,Netherlands,1,NA,1,0,0,0,0
UEFA Euro 2008,UEFA Euro,2008,Poland,1,NA,0,0,0,0,0
UEFA Euro 2008,UEFA Euro,2008,Portugal,1,NA,1,0,0,0,0
UEFA Euro 2008,UEFA Euro,2008,Romania,1,NA,0,0,0,0,0
UEFA Euro 2008,UEFA Euro,2008,Spain,1,NA,1,1,1,1,0
UEFA Euro 2008,UEFA Euro,2008,Sweden,1,NA,0,0,0,0,0
UEFA Euro 2012,UEFA Euro,2012,Poland,1,NA,0,0,0,0,1
UEFA Euro 2012,UEFA Euro,2012,Germany,1,NA,1,1,0,0,0
UEFA Euro 2012,UEFA Euro,2012,Italy,1,NA,1,1,1,0,0
UEFA Euro 2012,UEFA Euro,2012,France,1,NA,1,0,0,0,0
UEFA Euro 2012,UEFA Euro,2012,Netherlands,1,NA,0,0,0,0,0
UEFA Euro 2012,UEFA Euro,2012,Greece,1,NA,1,0,0,0,0
UEFA Euro 2012,UEFA Euro,2012,United Kingdom (England),1,NA,1,0,0,0,0
UEFA Euro 2012,UEFA Euro,2012,Denmark,1,NA,0,0,0,0,0
UEFA Euro 2012,UEFA Euro,2012,Spain,1,NA,1,1,1,1,0
UEFA Euro 2012,UEFA Euro,2012,Sweden,1,NA,0,0,0,0,0
UEFA Euro 2012,UEFA Euro,2012,Czech Republic,1,NA,1,0,0,0,0
UEFA Euro 2012,UEFA Euro,2012,Portugal,1,NA,1,1,0,0,0
UEFA Euro 2012,UEFA Euro,2012,Ireland,1,NA,0,0,0,0,0
UEFA Euro 2016,UEFA Euro,2016,Austria,1,0,0,0,0,0,0
UEFA Euro 2016,UEFA Euro,2016,Belgium,1,1,1,0,0,0,0
UEFA Euro 2016,UEFA Euro,2016,Coatia,1,1,0,0,0,0,0
UEFA Euro 2016,UEFA Euro,2016,Czech Republic,1,0,0,0,0,0,0
UEFA Euro 2016,UEFA Euro,2016,United Kingdom (England),1,1,0,0,0,0,0
UEFA Euro 2016,UEFA Euro,2016,United Kingdom (Wales),1,1,1,1,0,0,0
UEFA Euro 2016,UEFA Euro,2016,United Kingdom (Northern Ireland),1,1,0,0,0,0,0
UEFA Euro 2016,UEFA Euro,2016,France,1,1,1,1,1,0,1
UEFA Euro 2016,UEFA Euro,2016,Germany,1,1,1,1,0,0,0
UEFA Euro 2016,UEFA Euro,2016,Hungary,1,1,0,0,0,0,0
UEFA Euro 2016,UEFA Euro,2016,Italy,1,1,1,0,0,0,0
UEFA Euro 2016,UEFA Euro,2016,Poland,1,1,1,0,0,0,0
UEFA Euro 2016,UEFA Euro,2016,Portugal,1,1,1,1,1,1,0
UEFA Euro 2016,UEFA Euro,2016,Ireland,1,1,0,0,0,0,0
UEFA Euro 2016,UEFA Euro,2016,Romania,1,0,0,0,0,0,0
UEFA Euro 2016,UEFA Euro,2016,Slovakia,1,1,0,0,0,0,0
UEFA Euro 2016,UEFA Euro,2016,Spain,1,1,0,0,0,0,0
UEFA Euro 2016,UEFA Euro,2016,Sweden,1,0,0,0,0,0,0