member_state,world_cup,coverage,programs,TVR,audience,population
Austria,2010,147,216,4.9,5682683,8363404
Belgium,2010,347,350,4.7,7266841,10895586
Bulgaria,2010,305,259,3.8,5304336,7395599
Cypus,2010,272,223,3.4,542836,1112607
Czech Republic,2010,171,89,2.4,7188674,10474410
Denmark,2010,269,241,4.4,4402545,5547683
Estonia,2010,149,79,4.9,930965,1331475
Finland,2010,220,164,4.9,3395378,5363352
France,2010,199,130,6.8,44891913,65027512
Germany,2010,781,901,8.4,64992868,81776930
Greece,2010,311,214,3.5,7346549,11121341
Hungary,2010,382,171,4.2,6662957,10000023
Ireland,2010,179,80,4.8,3008351,4560155
Italy,2010,2854,2410,0.3,46614585,59277417
Latvia,2010,137,64,3.7,1564081,2097555
Lithuania,2010,143,68,4.8,2323612,3097282
Malta,2010,361,178,2.6,299891,414508
Netherlands,2010,187,94,13.8,13522053,16615394
Poland,2010,538,306,2.1,26057854,38042794
Portugal,2010,858,563,2,7835122,10573100
Romania,2010,469,270,1.9,14683297,20246871
Slovakia,2010,412,350,1.7,4168129,5391428
Slovenia,2010,592,348,2.7,1602228,2048583
Spain,2010,745,777,0.9,39384000,46576897
Sweden,2010,215,226,5.1,6484329,9378126
United Kingdom,2010,341,251,4.1,46817000,62766365
Austria,2014,242,397,3.9,5352045,8541575
Belgium,2014,475,453,6.3,7733411,11209057
Bulgaria,2014,1066,904,1,4995712,7223938
Cypus,2014,267,245,3.5,511252,1152309
Czech Republic,2014,191,197,2,6770412,10525347
Denmark,2014,284,284,4.4,4228000,5643475
Estonia,2014,197,106,3.7,876798,1314545
Finland,2014,231,106,5.3,3197823,5461512
France,2014,644,443,5.3,47165000,66331957
Germany,2014,243,221,7.3,65831015,80982500
Greece,2014,580,334,2.5,7818237,10892413
Hungary,2014,403,254,2.4,6275283,9866468
Ireland,2014,187,81,5.8,2833315,4617225
Italy,2014,3052,3514,0.3,45346000,60789140
Latvia,2014,345,238,1.2,1473078,1993782
Lithuania,2014,236,173,2.5,2188416,2932367
Malta,2014,374,244,5,282442,427364
Netherlands,2014,191,170,13.8,14800900,16865008
Poland,2014,733,459,1.4,25044400,38011735
Portugal,2014,741,461,2.7,7309442,10401062
Romania,2014,288,208,2.8,10138000,19908979
Slovakia,2014,180,196,2.6,3441284,5418649
Slovenia,2014,213,193,5,1322829,2061980
Spain,2014,747,959,0.8,32927000,46480882
Sweden,2014,239,212,5.6,6107048,9696110
United Kingdom,2014,365,221,4.7,44481000,64613160